"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14540","Bowling Green, KY","365","268","97",".",".",".","77","58","43",".",".","201",".","164","."
"17140","Cincinnati, OH-KY-IN","365","139","206","20",".",".","147","90","54",".","5","143","22","192","3"
"17300","Clarksville, TN-KY","365","307","58",".",".",".","87","54","40",".",".","259",".","106","."
"21060","Elizabethtown-Fort Knox, KY","363","318","45",".",".",".","71","53","39",".",".","180",".","183","."
"21780","Evansville, IN-KY","365","244","111","10",".",".","120","67","45",".",".","193","46","126","."
"26580","Huntington-Ashland, WV-KY-OH","365","299","66",".",".",".","77","54","42",".","1","183",".","180","1"
"30460","Lexington-Fayette, KY","365","303","62",".",".",".","80","55","42",".","9","190",".","166","."
"31140","Louisville/Jefferson County, KY-IN","365","195","166","4",".",".","136","71","49",".","6","164",".","195","."
"33180","Middlesborough, KY","263","243","20",".",".",".","77","49","39",".",".","233",".","30","."
"36980","Owensboro, KY","364","276","87","1",".",".","101","61","43",".","1","197","4","162","."
"37140","Paducah, KY-IL","364","261","103",".",".",".","97","60","44",".","2","164",".","197","1"
"43700","Somerset, KY","282","267","15",".",".",".","63","49","40",".",".","222",".","60","."
