"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","126","232","7",".",".","150","77","56","4",".","58","7","261","35"
"17980","Columbus, GA-AL","365","209","154","2",".",".","112","71","47",".",".","86",".","278","1"
"19300","Daphne-Fairhope-Foley, AL","252","218","32","2",".",".","136","53","36",".",".","200",".","52","."
"19460","Decatur, AL","322","178","144",".",".",".","91","64","48",".",".","85",".","237","."
"20020","Dothan, AL","315","261","54",".",".",".","86","55","38",".",".","172",".","143","."
"22520","Florence-Muscle Shoals, AL","323","220","103",".",".",".","76","60","43",".",".","129",".","194","."
"22840","Fort Payne, AL","363","311","52",".",".",".","100","54","36",".",".","308",".","55","."
"23460","Gadsden, AL","359","228","131",".",".",".","87","63","44",".",".","85",".","274","."
"26620","Huntsville, AL","349","272","76","1",".",".","122","61","39",".",".","246",".","73","30"
"33660","Mobile, AL","358","305","49","4",".",".","133","58","35",".",".","208",".","73","77"
"33860","Montgomery, AL","323","216","107",".",".",".","93","64","44",".",".","93",".","230","."
"45180","Talladega-Sylacauga, AL","97","66","31",".",".",".","80","66","41",".",".",".",".","97","."
"46220","Tuscaloosa, AL","306","230","75","1",".",".","120","60","40",".",".","107",".","199","."
