"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10780","Alexandria, LA","113","83","30",".",".",".","74","59","40",".",".",".",".","113","."
"12940","Baton Rouge, LA","365","96","204","55","9","1","202","119","62",".","5","134","71","153","2"
"25220","Hammond, LA","119","74","45",".",".",".","89","66","43",".",".",".",".","119","."
"26380","Houma-Thibodaux, LA","365","226","125","13","1",".","154","79","45",".",".","184",".","181","."
"29180","Lafayette, LA","365","281","74","10",".",".","122","72","38",".",".","292",".","73","."
"29340","Lake Charles, LA","365","222","133","10",".",".","136","80","44",".","4","173","11","177","."
"33740","Monroe, LA","358","299","58","1",".",".","101","59","36",".",".","264","7","87","."
"35020","Natchez, MS-LA","280","211","65","4",".",".","119","69","42",".",".","198",".","82","."
"35380","New Orleans-Metairie, LA","365","108","176","55","26",".","200","140","62",".","7","105","119","133","1"
"43340","Shreveport-Bossier City, LA","365","211","139","13","2",".","197","77","46",".",".","176","1","186","2"
