"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10500","Albany, GA","359","216","142","1",".",".","111","65","45",".",".",".",".","359","."
"11140","Americus, GA","244","229","15",".",".",".","77","49","37.5",".",".","244",".",".","."
"12020","Athens-Clarke County, GA","356","239","117",".",".",".","92","61","42",".",".","101",".","255","."
"12060","Atlanta-Sandy Springs-Roswell, GA","365","132","215","17","1",".","159","80","55",".","2","120",".","243","."
"12260","Augusta-Richmond County, GA-SC","363","210","153",".",".",".","92","67","47",".",".","123","31","209","."
"15260","Brunswick, GA","332","287","45",".",".",".","88","54","37",".",".","139",".","193","."
"16860","Chattanooga, TN-GA","365","229","135","1",".",".","105","64","44",".",".","139",".","226","."
"17980","Columbus, GA-AL","365","246","117","2",".",".","108","63","42",".",".","101",".","264","."
"19140","Dalton, GA","266","232","33","1",".",".","108","54","38",".",".","214",".","52","."
"20060","Douglas, GA","61","55","6",".",".",".","66","50","35",".",".",".",".","61","."
"23580","Gainesville, GA","318","177","141",".",".",".","95","65","47",".",".",".",".","318","."
"31420","Macon, GA","365","211","152","2",".",".","112","64","47",".",".","67","2","296","."
"40660","Rome, GA","365","136","228","1",".",".","109","72","54",".",".",".","8","357","."
"42340","Savannah, GA","365","251","112","2",".",".","114","60","43",".",".","49","91","225","."
"44900","Summerville, GA","245","227","18",".",".",".","77","49","36",".",".","245",".",".","."
"46660","Valdosta, GA","339","245","94",".",".",".","88","60","38",".",".",".",".","339","."
"47580","Warner Robins, GA","348","202","143","3",".",".","129","64","46",".",".",".",".","348","."
