"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14010","Bloomington, IL","363","317","46",".",".",".","100","54","36",".",".","338",".","25","."
"16580","Champaign-Urbana, IL","365","301","63","1",".",".","101","61","38",".",".","308",".","57","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","365","60","284","20","1",".","155","87","62",".","12","48","8","276","21"
"19340","Davenport-Moline-Rock Island, IA-IL","365","119","242","4",".",".","111","78","56",".",".","42",".","222","101"
"19500","Decatur, IL","365","255","109","1",".",".","103","64","42",".",".","201","21","143","."
"20820","Effingham, IL","212","187","25",".",".",".","90","51","38",".",".","212",".",".","."
"22800","Fort Madison-Keokuk, IA-IL-MO","121","83","38",".",".",".","97","64","36",".",".",".",".","121","."
"34500","Mount Vernon, IL","231","185","46",".",".",".","93","61","41",".",".","196",".","35","."
"36860","Ottawa-Peru, IL","356","356",".",".",".",".","20","6","3",".",".",".","356",".","."
"37140","Paducah, KY-IL","365","276","89",".",".",".","97","61","41",".","28","165","5","167","."
"37900","Peoria, IL","365","222","115","24","4",".","185","87","46",".",".","151","69","145","."
"39500","Quincy, IL-MO","213","192","21",".",".",".","90","50","37",".",".","213",".",".","."
"40420","Rockford, IL","342","306","34","2",".",".","105","51","34",".",".","329",".","13","."
"41180","St. Louis, MO-IL","365","136","208","21",".",".","148","89","56",".","12","120","11","206","16"
"44100","Springfield, IL","365","332","33",".",".",".","78","50","33",".",".","318","11","36","."
