"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","26","270","59","10",".","179","120","75","36",".","50","7","239","33"
"17980","Columbus, GA-AL","365","150","200","14","1",".","156","88","55",".",".","88","3","273","1"
"19300","Daphne-Fairhope-Foley, AL","254","158","86","10",".",".","147","80","46",".",".","170",".","84","."
"19460","Decatur, AL","285","154","111","20",".",".","136","97","49",".",".","198",".","87","."
"20020","Dothan, AL","265","186","77","2",".",".","124","71","44",".",".","170",".","95","."
"21640","Eufaula, AL-GA","59","35","23","1",".",".","119","68","47",".",".",".",".","59","."
"22520","Florence-Muscle Shoals, AL","365","255","100","10",".",".","126","75","43",".",".","186","94","85","."
"22840","Fort Payne, AL","358","248","102","8",".",".","140","74","43",".",".","274",".","84","."
"23460","Gadsden, AL","280","157","115","8",".",".","120","80","47",".",".","186",".","89","5"
"26620","Huntsville, AL","364","228","115","21",".",".","133","88","44",".",".","276",".","82","6"
"33660","Mobile, AL","353","229","117","6","1",".","154","80","44",".",".","174","28","79","72"
"33860","Montgomery, AL","285","168","114","3",".",".","133","79","48",".",".","183",".","102","."
"42460","Scottsboro, AL","364","322","35","7",".",".","131","56","10.5",".","3","17","344",".","."
"45180","Talladega-Sylacauga, AL","281","204","75","2",".",".","110","68","41",".",".","173",".","107","1"
"45980","Troy, AL","56","55","1",".",".",".","51","31","19",".",".",".",".",".","56"
"46220","Tuscaloosa, AL","274","158","106","9","1",".","164","81","47",".",".","182",".","92","."
