"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13220","Beckley, WV","8","8",".",".",".",".","24","24","16.5",".",".",".",".","8","."
"16620","Charleston, WV","365","296","69",".",".",".","100","59","37",".",".","176","46","78","65"
"17220","Clarksburg, WV","120","95","25",".",".",".","72","53.5","33",".",".",".",".","120","."
"21900","Fairmont, WV","119","89","30",".",".",".","68","57","38",".",".",".",".","119","."
"25180","Hagerstown-Martinsburg, MD-WV","358","256","102",".",".",".","100","65","43",".",".","166",".","192","."
"26580","Huntington-Ashland, WV-KY-OH","365","234","129","2",".",".","115","64","44",".","4","118","1","242","."
"34060","Morgantown, WV","363","323","40",".",".",".","90","51","33",".",".","185","102","76","."
"37620","Parkersburg-Vienna, WV","359","303","56",".",".",".","100","54","36",".",".","173","116","70","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","175","180","9","1",".","154","77","51",".","15","175",".","175","."
"48260","Weirton-Steubenville, WV-OH","365","163","194","8",".",".","150","77","52",".",".","95","25","245","."
"48540","Wheeling, WV-OH","365","198","166","1",".",".","120","68","48",".",".","85","24","256","."
"49020","Winchester, VA-WV","362","282","80",".",".",".","92","58","39",".",".","146",".","216","."
