"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","150","197","18",".",".","150","84","53",".","1","112","11","240","1"
"17980","Columbus, GA-AL","365","257","108",".",".",".","90","63","42",".",".","115",".","250","."
"19300","Daphne-Fairhope-Foley, AL","271","237","34",".",".",".","80","52","37",".",".","218",".","53","."
"19460","Decatur, AL","365","306","59",".",".",".","93","54","41",".",".","191",".","174","."
"20020","Dothan, AL","280","256","24",".",".",".","77","50","35",".",".","205",".","75","."
"22520","Florence-Muscle Shoals, AL","263","252","11",".",".",".","61","47","37",".",".","227",".","36","."
"22840","Fort Payne, AL","361","324","37",".",".",".","90","51","39",".",".","329",".","32","."
"23460","Gadsden, AL","279","232","47",".",".",".","90","58","43",".",".","215",".","64","."
"26620","Huntsville, AL","361","255","106",".",".",".","93","58","44",".",".","153",".","201","7"
"33660","Mobile, AL","364","258","106",".",".",".","80","60","42",".",".","99","16","249","."
"33860","Montgomery, AL","365","171","193","1",".",".","122","67","52",".",".","51",".","313","1"
"46220","Tuscaloosa, AL","264","240","24",".",".",".","87","50","35",".",".","187",".","77","."
