"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","200","159","6",".",".","147","71","48",".","9","101","5","246","4"
"17980","Columbus, GA-AL","363","215","146","2",".",".","141","66","46",".",".","57",".","306","."
"19300","Daphne-Fairhope-Foley, AL","264","230","33","1",".",".","129","53","37.5",".",".","189",".","75","."
"19460","Decatur, AL","365","302","63",".",".",".","92","56","38",".",".","160",".","205","."
"20020","Dothan, AL","283","259","24",".",".",".","74","49","33",".",".","208",".","75","."
"22520","Florence-Muscle Shoals, AL","280","251","29",".",".",".","73","51","36",".",".","195",".","85","."
"22840","Fort Payne, AL","363","319","43","1",".",".","101","52","37",".",".","303",".","60","."
"23460","Gadsden, AL","365","221","137","4","3",".","170","64","46",".",".","112",".","253","."
"26620","Huntsville, AL","333","288","45",".",".",".","87","54","38",".",".","215",".","63","55"
"33660","Mobile, AL","363","274","88","1",".",".","105","58","40",".",".","132",".","231","."
"33860","Montgomery, AL","360","227","131","2",".",".","115","61","45",".",".","108",".","252","."
"45180","Talladega-Sylacauga, AL","107","76","31",".",".",".","81","57","40",".",".",".",".","107","."
"46220","Tuscaloosa, AL","357","193","164",".",".",".","89","63","49",".",".","46",".","311","."
