"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12260","Augusta-Richmond County, GA-SC","365","219","144","2",".",".","101","70","47",".",".","185","14","166","."
"16700","Charleston-North Charleston, SC","357","301","55","1",".",".","140","55","38",".",".","235",".","121","1"
"16740","Charlotte-Concord-Gastonia, NC-SC","365","200","147","18",".",".","136","87","49",".",".","237",".","128","."
"17900","Columbia, SC","365","264","99","2",".",".","136","66","43",".",".","250",".","115","."
"22500","Florence, SC","365","288","77",".",".",".","100","61","40",".",".","226",".","139","."
"23860","Georgetown, SC","92","91","1",".",".",".","52","25","14",".",".",".",".",".","92"
"24860","Greenville-Anderson-Mauldin, SC","365","222","141","2",".",".","108","77","46",".","2","256",".","107","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","356","278","76","2",".",".","119","67","37",".",".","235","121",".","."
"42860","Seneca, SC","365","308","56","1",".",".","105","54","41",".",".","271","50","44","."
"43900","Spartanburg, SC","357","249","106","2",".",".","105","65","44",".",".","217",".","140","."
"47500","Walterboro, SC","7","7",".",".",".",".","32","32","29",".",".","5",".","2","."
