"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10500","Albany, GA","360","254","104","2",".",".","124","63","38",".",".",".",".","359","1"
"11140","Americus, GA","233","204","29",".",".",".","97","54","40",".",".","233",".",".","."
"12020","Athens-Clarke County, GA","366","247","113","5","1",".","153","67","43",".",".","132",".","234","."
"12060","Atlanta-Sandy Springs-Roswell, GA","366","106","232","19","8","1","218","97","61",".","1","134",".","231","."
"12260","Augusta-Richmond County, GA-SC","366","224","136","5","1",".","151","69","45",".",".","121",".","245","."
"15260","Brunswick, GA","359","347","12",".",".",".","87","45","30",".",".","214","99","39","7"
"16860","Chattanooga, TN-GA","352","176","165","9","2",".","161","77","50.5",".",".","151",".","201","."
"17980","Columbus, GA-AL","366","239","124","3",".",".","104","69","44",".",".","134",".","231","1"
"19140","Dalton, GA","278","233","43","2",".",".","119","64","42",".",".","232",".","46","."
"20060","Douglas, GA","60","48","12",".",".",".","60","57.5","34.5",".",".",".",".","60","."
"23580","Gainesville, GA","328","210","118",".",".",".","75","60","45",".",".",".",".","328","."
"31420","Macon, GA","366","214","148","4",".",".","147","69","47",".",".","99","2","265","."
"40660","Rome, GA","366","48","315","3",".",".","139","82","64",".",".",".","9","357","."
"42340","Savannah, GA","366","232","126","8",".",".","124","68","44",".",".","81","76","209","."
"44900","Summerville, GA","265","217","46","2",".",".","108","61","39",".",".","245",".",".","20"
"46660","Valdosta, GA","345","167","176","2",".",".","132","63","51",".",".",".",".","345","."
"47580","Warner Robins, GA","330","217","112","1",".",".","142","60","43",".",".",".",".","330","."
