"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14660","Brainerd, MN","360","283","77",".",".",".","96","61","33",".",".","128",".","232","."
"20260","Duluth, MN-WI","365","276","89",".",".",".","90","64","40",".",".","163",".","198","4"
"22020","Fargo, ND-MN","365","339","24","2",".",".","102","49","34",".","31","275",".","56","3"
"29100","La Crosse-Onalaska, WI-MN","317","264","51","2",".",".","121","58","36",".",".","251",".","66","."
"32140","Marshall, MN","355","254","100","1",".",".","122","64","41",".",".","131",".","224","."
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","365","171","185","8","1",".","153","79","51","1","2","83","6","268","5"
"39860","Red Wing, MN","182","162","20",".",".",".","100","54","40.5",".",".","182",".",".","."
"40340","Rochester, MN","365","250","111","4",".",".","127","67","42",".",".","107",".","248","10"
"41060","St. Cloud, MN","365","300","63","2",".",".","110","61","36","4",".","149",".","212","."
"49100","Winona, MN","113","99","14",".",".",".","90","60","22",".",".",".",".","113","."
