"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10500","Albany, GA","357","189","165","2","1",".","156","70","48",".",".",".",".","354","3"
"11140","Americus, GA","234","189","43","2",".",".","108","64","42",".",".","234",".",".","."
"12020","Athens-Clarke County, GA","365","205","155","5",".",".","147","77","46",".",".","135",".","230","."
"12060","Atlanta-Sandy Springs-Roswell, GA","365","110","208","40","7",".","182","105","60",".","5","157","3","200","."
"12260","Augusta-Richmond County, GA-SC","365","189","170","6",".",".","136","77","49",".",".","176",".","189","."
"15260","Brunswick, GA","359","309","50",".",".",".","93","56","35",".",".","218","80","53","8"
"16860","Chattanooga, TN-GA","361","145","196","19","1",".","157","87","55",".",".","144",".","217","."
"17980","Columbus, GA-AL","365","191","169","3","1","1","245","76","50",".",".","120",".","245","."
"19140","Dalton, GA","278","189","80","9",".",".","150","77","44",".",".","214",".","64","."
"20060","Douglas, GA","59","45","14",".",".",".","83","63","36",".",".",".",".","59","."
"23580","Gainesville, GA","354","136","218",".",".",".","99","76","55",".",".",".",".","354","."
"31420","Macon, GA","364","160","200","4",".",".","133","76","53",".",".","68","1","294","1"
"40660","Rome, GA","365","125","237","1","2",".","155","75","56",".",".",".","5","360","."
"42340","Savannah, GA","365","183","175","7",".",".","107","74","50",".",".","84","96","185","."
"44900","Summerville, GA","264","203","61",".",".",".","97","71","41",".",".","242",".",".","22"
"46660","Valdosta, GA","332","135","191","4","2",".","159","69","53",".",".",".",".","332","."
"47580","Warner Robins, GA","331","160","171",".",".",".","98","70","52",".",".",".",".","331","."
