"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"12260","Augusta-Richmond County, GA-SC","366","256","103","5","2",".","166","67","44",".",".","193","31","142","."
"16700","Charleston-North Charleston, SC","360","310","45","3","2",".","158","53","37",".","4","167",".","187","2"
"16740","Charlotte-Concord-Gastonia, NC-SC","366","227","130","7","2",".","156","80","46",".","5","253",".","108","."
"17900","Columbia, SC","366","254","107","3","2",".","168","61","44",".","1","195",".","170","."
"22500","Florence, SC","335","294","41",".",".",".","87","52","38",".",".","206",".","129","."
"23500","Gaffney, SC","172","148","23","1",".",".","101","54","41",".",".","172",".",".","."
"23860","Georgetown, SC","312","309","3",".",".",".","62","28","16",".",".",".",".",".","312"
"24860","Greenville-Anderson-Mauldin, SC","366","247","112","5","2",".","188","67","46",".","1","232",".","132","1"
"24940","Greenwood, SC","311","285","26",".",".",".","87","49","39",".",".","311",".",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","137","127","8","2",".",".","128","39","27",".",".","121","16",".","."
"42860","Seneca, SC","362","324","36","2",".",".","133","51","40",".",".","287","13","62","."
"43900","Spartanburg, SC","351","240","109","2",".",".","126","61","44",".",".","130",".","221","."
"47500","Walterboro, SC","343","304","36","2","1",".","152","52","34",".",".","196",".","147","."
