"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14540","Bowling Green, KY","365","312","53",".",".",".","90","54","38","1",".","252","1","111","."
"17140","Cincinnati, OH-KY-IN","365","156","196","12","1",".","151","84","52",".","30","125","17","188","5"
"17300","Clarksville, TN-KY","365","269","96",".",".",".","87","59","43",".",".","197","11","157","."
"21060","Elizabethtown-Fort Knox, KY","365","251","113","1",".",".","105","62","44",".",".","125",".","240","."
"21780","Evansville, IN-KY","365","158","198","9",".",".","133","74","53",".","1","89","60","215","."
"26580","Huntington-Ashland, WV-KY-OH","365","238","123","4",".",".","112","70","45",".","1","122","3","238","1"
"30460","Lexington-Fayette, KY","365","285","75","5",".",".","139","61","39",".","25","194","1","144","1"
"31140","Louisville/Jefferson County, KY-IN","365","166","185","10","4",".","174","78","52",".","7","105","14","239","."
"33180","Middlesborough, KY","261","237","24",".",".",".","77","49","38",".",".","230",".","31","."
"36980","Owensboro, KY","365","239","119","7",".",".","115","70","44",".","5","109","8","243","."
"37140","Paducah, KY-IL","365","249","113","3",".",".","115","65","41",".","37","118","2","206","2"
"40080","Richmond-Berea, KY","112","99","13",".",".",".","71","52","29.5",".",".",".",".","112","."
"43700","Somerset, KY","263","230","33",".",".",".","80","53","37",".",".","195",".","68","."
