"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"22380","Flagstaff, AZ","365","289","76",".",".",".","80","61","45",".",".","356",".","9","."
"29420","Lake Havasu City-Kingman, AZ","365","358","7",".",".",".","69","27","14",".",".",".",".","34","331"
"35700","Nogales, AZ","362","280","80","2",".",".","120","63","31",".",".",".",".","260","102"
"37740","Payson, AZ","365","145","164","50","6",".","187","110","60",".",".","254","104",".","7"
"38060","Phoenix-Mesa-Scottsdale, AZ","365","50","261","42","2","10","886","107","74",".","1","168",".","75","121"
"39140","Prescott, AZ","357","299","58",".",".",".","87","54","43",".",".","355",".","2","."
"43320","Show Low, AZ","365","294","70","1",".",".","112","58","44",".",".","357",".",".","8"
"43420","Sierra Vista-Douglas, AZ","365","266","99",".",".",".","97","64","45",".",".","324",".","15","26"
"46060","Tucson, AZ","365","225","138","2",".",".","103","71","47",".",".","250",".","23","92"
"49740","Yuma, AZ","365","265","97","3",".",".","129","67","45",".",".","265",".","48","52"
