"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14010","Bloomington, IL","347","275","71","1",".",".","112","61","38",".",".","275",".","72","."
"16060","Carbondale-Marion, IL","56","56",".",".",".",".","35","28","15.5",".",".",".",".",".","56"
"16580","Champaign-Urbana, IL","366","296","70",".",".",".","97","58","38",".",".","295",".","71","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","366","32","272","62",".",".","144","105","76",".","125","36","72","128","5"
"19340","Davenport-Moline-Rock Island, IA-IL","366","161","200","4","1",".","155","76","52",".","1","61","1","247","56"
"19500","Decatur, IL","366","248","118",".",".",".","97","65","43",".",".","171","21","174","."
"20820","Effingham, IL","212","189","23",".",".",".","100","51","37.5",".",".","212",".",".","."
"22800","Fort Madison-Keokuk, IA-IL-MO","118","71","47",".",".",".","90","65","43",".",".",".",".","118","."
"34500","Mount Vernon, IL","245","189","54","2",".",".","109","64","42",".",".","199",".","46","."
"36860","Ottawa-Peru, IL","366","213","110","24","19",".","200","109","45",".",".",".","67","270","29"
"37140","Paducah, KY-IL","363","227","132","4",".",".","112","72","44",".","27","151","19","165","1"
"37900","Peoria, IL","366","169","178","14","5",".","189","84","52","2",".","92","68","204","."
"39500","Quincy, IL-MO","357","331","26",".",".",".","93","49","33",".",".","320",".","37","."
"40420","Rockford, IL","366","316","49","1",".",".","128","57","33.5","7",".","284",".","75","."
"41180","St. Louis, MO-IL","366","46","197","94","29",".","200","144","77",".",".","53","171","124","18"
"44100","Springfield, IL","366","281","64","21",".",".","135","72","38","1",".","228","68","69","."
