"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","157","202","6",".",".","119","74","53",".","6","68","2","287","2"
"17980","Columbus, GA-AL","365","246","117","2",".",".","108","63","42",".",".","101",".","264","."
"19300","Daphne-Fairhope-Foley, AL","280","232","46","2",".",".","112","58.5","38",".",".","202",".","78","."
"19460","Decatur, AL","284","238","46",".",".",".","93","56","39",".",".","207",".","77","."
"20020","Dothan, AL","279","241","38",".",".",".","80","52","38",".",".","209",".","70","."
"22520","Florence-Muscle Shoals, AL","284","251","33",".",".",".","87","52","37",".",".","202",".","82","."
"22840","Fort Payne, AL","360","313","47",".",".",".","90","54","38",".",".","299",".","61","."
"23460","Gadsden, AL","281","244","37",".",".",".","97","54","38",".",".","206",".","75","."
"26620","Huntsville, AL","338","281","57",".",".",".","97","58","39",".",".","211",".","71","56"
"33660","Mobile, AL","285","224","55","6",".",".","115","67","41",".",".","221",".","63","1"
"33860","Montgomery, AL","285","230","55",".",".",".","87","58","40",".",".","199",".","86","."
"45180","Talladega-Sylacauga, AL","108","86","22",".",".",".","79","56","36.5",".",".",".",".","108","."
"46220","Tuscaloosa, AL","280","251","29",".",".",".","93","51.5","35.5",".",".","189",".","91","."
