"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","106","229","25","5",".","166","97","59","1",".","118","4","216","26"
"17980","Columbus, GA-AL","365","191","169","3","1","1","245","76","50",".",".","120",".","245","."
"19300","Daphne-Fairhope-Foley, AL","274","188","80","6",".",".","150","71","43",".",".","190",".","84","."
"19460","Decatur, AL","361","187","171","3",".",".","108","74","50",".",".","146",".","215","."
"20020","Dothan, AL","357","195","158","4",".",".","115","67","48",".",".","109",".","248","."
"22520","Florence-Muscle Shoals, AL","355","208","146","1",".",".","105","67","47",".",".","109",".","246","."
"22840","Fort Payne, AL","358","248","106","4",".",".","101","74","43",".",".","301",".","57","."
"23460","Gadsden, AL","363","148","214","1",".",".","104","74","54",".",".","74",".","289","."
"26620","Huntsville, AL","335","230","101","4",".",".","136","74","44",".",".","201",".","84","50"
"33660","Mobile, AL","363","270","85","8",".",".","140","71","40",".",".","202",".","70","91"
"33860","Montgomery, AL","364","184","172","8",".",".","129","71","50",".",".","108",".","255","1"
"45180","Talladega-Sylacauga, AL","117","64","53",".",".",".","76","62","48",".",".",".",".","117","."
"46220","Tuscaloosa, AL","365","127","238",".",".",".","89","72","55",".",".","16",".","349","."
