"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10500","Albany, GA","114","59","50","4","1",".","181","84","49",".",".",".",".","105","9"
"11140","Americus, GA","237","155","74","8",".",".","143","80","46",".",".","237",".",".","."
"12020","Athens-Clarke County, GA","357","149","180","26","2",".","155","93","55",".",".","113",".","244","."
"12060","Atlanta-Sandy Springs-Roswell, GA","365","68","211","53","29","4","220","147","71",".","4","135","30","196","."
"12260","Augusta-Richmond County, GA-SC","365","132","206","25","2",".","164","93","59",".","1","174",".","190","."
"15260","Brunswick, GA","353","297","54","2",".",".","149","55","37",".",".","195","77","72","9"
"16860","Chattanooga, TN-GA","362","108","198","52","4",".","195","108","61",".",".","145",".","217","."
"17980","Columbus, GA-AL","365","129","211","19","6",".","177","97","57",".",".","85",".","280","."
"19140","Dalton, GA","281","138","119","23","1",".","159","100","51",".",".","229",".","52","."
"20060","Douglas, GA","49","24","22","3",".",".","124","78","51",".",".",".",".","49","."
"23580","Gainesville, GA","108","54","53","1",".",".","142","75","50.5",".",".",".",".","108","."
"31420","Macon, GA","365","138","191","28","8",".","184","100","55",".",".","92","10","262","1"
"40660","Rome, GA","365","149","191","23","2",".","165","92","56",".",".",".","120","245","."
"42340","Savannah, GA","365","145","207","11","2",".","155","77","55",".",".","41","60","264","."
"44900","Summerville, GA","262","141","97","23","1",".","182","100","49",".",".","243",".",".","19"
"46660","Valdosta, GA","53","34","18",".","1",".","161","72","41",".",".",".",".","53","."
"47580","Warner Robins, GA","103","52","46","3","2",".","191","74","49",".",".",".",".","103","."
