"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11660","Arkadelphia, AR","345","300","45",".",".",".","100","61","35",".",".","345",".",".","."
"20980","El Dorado, AR","365","317","48",".",".",".","89","55","9",".",".",".","254","111","."
"22220","Fayetteville-Springdale-Rogers, AR-MO","89","88","1",".",".",".","54","42","30",".",".","89",".",".","."
"22900","Fort Smith, AR-OK","311","190","107","14",".",".","140","87","47",".","2","185",".","80","44"
"25460","Harrison, AR","363","246","113","4",".",".","122","77","44",".",".","339",".","24","."
"25760","Helena-West Helena, AR","117","78","39",".",".",".","89","65","44",".",".",".",".","117","."
"26300","Hot Springs, AR","109","61","48",".",".",".","89","66","46",".",".",".",".","109","."
"30780","Little Rock-North Little Rock-Conway, AR","365","144","200","15","6",".","166","87","54",".","2","124",".","239","."
"32820","Memphis, TN-MS-AR","365","88","219","50","8",".","200","113","63",".","5","122","40","198","."
"40780","Russellville, AR","116","64","52",".",".",".","84","66","47.5",".",".",".",".","116","."
"42620","Searcy, AR","119","69","50",".",".",".","96","67","47",".",".",".",".","119","."
"45500","Texarkana, TX-AR","117","61","54","2",".",".","108","67","49",".",".",".",".","117","."
