"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","139","216","10",".",".","129","76","55",".","2","80","73","209","1"
"17980","Columbus, GA-AL","362","249","113",".",".",".","99","64","44",".",".","127",".","235","."
"19300","Daphne-Fairhope-Foley, AL","270","241","28","1",".",".","108","51","36",".",".","205",".","65","."
"19460","Decatur, AL","364","316","48",".",".",".","80","52","39",".",".","179",".","185","."
"20020","Dothan, AL","281","260","20","1",".",".","131","48","35",".",".","203",".","78","."
"22520","Florence-Muscle Shoals, AL","283","265","18",".",".",".","63","48","37",".",".","216",".","67","."
"22840","Fort Payne, AL","359","329","30",".",".",".","80","50","39",".",".","314",".","45","."
"23460","Gadsden, AL","360","233","125","1","1",".","163","62","45",".",".","128",".","232","."
"26620","Huntsville, AL","335","301","34",".",".",".","100","51","39",".",".","228",".","51","56"
"33660","Mobile, AL","363","299","59","5",".",".","139","55","37",".",".","185","5","173","."
"33860","Montgomery, AL","346","214","129","2",".","1","221","63","45",".",".","113",".","233","."
"45180","Talladega-Sylacauga, AL","116","92","24",".",".",".","70","55","33",".",".",".",".","116","."
"46220","Tuscaloosa, AL","350","165","184","1",".",".","123","67","52",".",".","63",".","287","."
