"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11660","Arkadelphia, AR","309","274","34","1",".",".","133","54","35",".",".","309",".",".","."
"20980","El Dorado, AR","366","325","39","1","1",".","200","52","5",".",".",".","254","112","."
"22220","Fayetteville-Springdale-Rogers, AR-MO","366","261","88","16","1",".","151","80","42.5",".",".","332",".","34","."
"22900","Fort Smith, AR-OK","363","261","86","14","2",".","156","77","41",".","43","229",".","65","26"
"25460","Harrison, AR","366","283","81","2",".",".","136","71","42",".",".","346",".","20","."
"25760","Helena-West Helena, AR","59","46","13",".",".",".","63","56","36",".",".",".",".","59","."
"26300","Hot Springs, AR","122","87","35",".",".",".","74","61","43",".",".",".",".","122","."
"30780","Little Rock-North Little Rock-Conway, AR","366","147","202","17",".",".","150","84","53",".","12","123",".","231","."
"32820","Memphis, TN-MS-AR","366","198","131","29","7","1","220","101","49",".","1","183",".","182","."
"40780","Russellville, AR","57","49","8",".",".",".","66","56","34",".",".",".",".","57","."
"45500","Texarkana, TX-AR","59","37","22",".",".",".","77","60","45",".",".",".",".","59","."
