"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","29","258","63","14","1","204","119","80","46",".","67","12","200","40"
"17980","Columbus, GA-AL","365","137","211","14","3",".","154","89","58",".",".","98",".","267","."
"19300","Daphne-Fairhope-Foley, AL","280","174","81","24","1",".","156","97","46",".",".","217",".","63","."
"19460","Decatur, AL","286","149","117","20",".",".","136","93","50",".",".","208",".","78","."
"20020","Dothan, AL","285","177","102","6",".",".","126","77","46",".",".","187",".","98","."
"21640","Eufaula, AL-GA","11","6","5",".",".",".","77","63","35",".",".",".",".","11","."
"22520","Florence-Muscle Shoals, AL","365","254","102","9",".",".","129","71","42",".",".","176","101","88","."
"22840","Fort Payne, AL","363","215","133","15",".",".","140","84","47",".",".","300",".","63","."
"23460","Gadsden, AL","282","168","108","6",".",".","129","74","48",".",".","194",".","87","1"
"26620","Huntsville, AL","362","229","119","12","2",".","156","84","45",".",".","282",".","73","7"
"33660","Mobile, AL","364","241","99","21","3",".","164","84","44",".",".","201","7","79","77"
"33860","Montgomery, AL","286","152","122","11","1",".","175","84","49",".",".","190",".","96","."
"42460","Scottsboro, AL","365","339","23","3",".",".","104","39","7",".",".",".","365",".","."
"45180","Talladega-Sylacauga, AL","277","157","105","15",".",".","150","84","48",".",".","208",".","68","1"
"45980","Troy, AL","20","20",".",".",".",".","37","32","21",".",".",".",".",".","20"
"46220","Tuscaloosa, AL","277","163","106","7","1",".","161","80","47",".",".","186",".","91","."
