"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13220","Beckley, WV","120","84","36",".",".",".","87","58","40.5",".",".",".",".","120","."
"16620","Charleston, WV","365","240","122","2","1",".","154","74","43",".",".","161","47","95","62"
"17220","Clarksburg, WV","111","56","54","1",".",".","117","63","49",".",".",".",".","111","."
"21900","Fairmont, WV","101","46","55",".",".",".","99","68","52",".",".",".",".","101","."
"25180","Hagerstown-Martinsburg, MD-WV","306","153","137","15","1",".","161","87","50.5",".",".","168",".","138","."
"26580","Huntington-Ashland, WV-KY-OH","365","136","212","16","1",".","152","87","56",".","5","116","22","222","."
"34060","Morgantown, WV","364","269","88","7",".",".","143","68","40",".",".","181","106","77","."
"37620","Parkersburg-Vienna, WV","365","218","133","14",".",".","131","80","46",".",".","147","150","68","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","151","164","37","13",".","187","115","55",".","29","188","1","145","2"
"48260","Weirton-Steubenville, WV-OH","365","121","196","40","8",".","200","105","59",".",".","83","134","146","2"
"48540","Wheeling, WV-OH","365","149","198","18",".",".","140","91","56",".",".","92","64","209","."
"49020","Winchester, VA-WV","261","176","81","3","1",".","159","68","44",".",".","181",".","80","."
