"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"14260","Boise City, ID","365","179","167","16","3",".","167","89","51","1",".","115",".","239","10"
"17660","Coeur d'Alene, ID","358","269","86","3",".",".","105","64","39",".","3","138",".","217","."
"26820","Idaho Falls, ID","321","242","78","1",".",".","101","63","40",".",".","188",".","133","."
"27220","Jackson, WY-ID","365","300","65",".",".",".","97","54","43","9",".","346",".","10","."
"30300","Lewiston, ID-WA","362","286","74","2",".",".","112","63","31",".",".",".",".","351","11"
"30860","Logan, UT-ID","365","174","173","18",".",".","143","90","52",".","21","188",".","156","."
"34140","Moscow, ID","353","339","14",".",".",".","81","39","14",".",".",".",".","353","."
"38540","Pocatello, ID","365","201","163","1",".",".","105","71","48",".",".",".","188","138","39"
"41760","Sandpoint, ID","305","305",".",".",".",".","48","24","12",".",".",".",".",".","305"
"46300","Twin Falls, ID","295","243","52",".",".",".","79","55","30",".",".",".",".","295","."
